종목명,현재가,전일비,등락률,거래량,거래대금,link
TIGER 미국배당다우존스,"12,985",5,+0.04%,+12.06%,"599,838",https://finance.naver.com/item/main.naver?code=458730
TIGER MSCI Korea TR,"13,935",30,+0.22%,-4.83%,"6,282",https://finance.naver.com/item/main.naver?code=310970
KODEX 1년은행양도성예금증서+액..,"1,023,275",80,+0.01%,+0.80%,"2,036",https://finance.naver.com/item/main.naver?code=481050
KODEX 코스닥150레버리지,"7,115",40,+0.57%,-13.40%,"18,022,199",https://finance.naver.com/item/main.naver?code=233740
TIGER 차이나전기차SOLACTIVE,"9,335",55,-0.59%,+40.89%,"520,397",https://finance.naver.com/item/main.naver?code=371460
ACE 미국30년국채액티브(H),"8,095",80,-0.98%,-9.66%,"1,854,251",https://finance.naver.com/item/main.naver?code=453850
KODEX 미국나스닥100TR,"20,925",160,+0.77%,+20.69%,"478,825",https://finance.naver.com/item/main.naver?code=379810
KODEX 단기채권PLUS,"112,910",15,+0.01%,+0.88%,"7,392",https://finance.naver.com/item/main.naver?code=214980
ACE 미국S&P500,"21,915",60,+0.27%,+16.87%,"279,181",https://finance.naver.com/item/main.naver?code=360200
RISE 종합채권(A-이상)액티브,"108,745",165,-0.15%,+2.50%,803,https://finance.naver.com/item/main.naver?code=385540
TIGER 25-10 회사채(A+이상)액티..,"54,040",10,+0.02%,+0.92%,"59,294",https://finance.naver.com/item/main.naver?code=453540
ACE 미국나스닥100,"23,955",160,+0.67%,+20.62%,"291,999",https://finance.naver.com/item/main.naver?code=367380
KODEX 코스닥150,"11,640",40,+0.34%,-5.38%,"3,594,945",https://finance.naver.com/item/main.naver?code=229200
RISE 200,"33,415",25,+0.07%,-3.57%,"174,961",https://finance.naver.com/item/main.naver?code=148020
KODEX 200선물인버스2X,"2,415",10,-0.41%,+7.06%,"43,892,456",https://finance.naver.com/item/main.naver?code=252670
TIGER 미국30년국채커버드콜액티..,"8,770",80,-0.90%,-8.37%,"1,701,997",https://finance.naver.com/item/main.naver?code=476550
KODEX 삼성그룹,"8,315",5,-0.06%,-9.71%,"74,313",https://finance.naver.com/item/main.naver?code=102780
TIGER CD1년금리액티브(합성),"1,031,380",100,+0.01%,+0.82%,"35,325",https://finance.naver.com/item/main.naver?code=475630
RISE CD금리액티브(합성),"102,585",5,0.00%,+0.82%,"2,264",https://finance.naver.com/item/main.naver?code=477080
TIGER 2차전지테마,"16,615",60,+0.36%,-18.11%,"352,315",https://finance.naver.com/item/main.naver?code=305540
KODEX 25-12 은행채(AAA)액티브,"101,135",5,0.00%,+0.94%,"3,176",https://finance.naver.com/item/main.naver?code=491080
KODEX 2차전지산업,"13,530",35,-0.26%,-19.26%,"532,217",https://finance.naver.com/item/main.naver?code=305720
KODEX 25-11 은행채(AA-이상)PLU..,"10,375",0,0.00%,+1.02%,"5,074",https://finance.naver.com/item/main.naver?code=476810
TIGER 미국배당다우존스타겟커버..,"11,000",25,+0.23%,+10.60%,"372,375",https://finance.naver.com/item/main.naver?code=458760
SOL 종합채권(AA-이상)액티브,"113,550",250,-0.22%,+2.61%,335,https://finance.naver.com/item/main.naver?code=436140
TIGER 25-12 금융채(AA-이상),"50,310",5,-0.01%,N/A,557,https://finance.naver.com/item/main.naver?code=494900
RISE 미국나스닥100,"23,200",150,+0.65%,+20.61%,"126,819",https://finance.naver.com/item/main.naver?code=368590
TIGER 단기통안채,"109,070",10,-0.01%,+0.77%,"8,051",https://finance.naver.com/item/main.naver?code=157450
KODEX Top5PlusTR,"21,090",75,+0.36%,-2.30%,"3,420",https://finance.naver.com/item/main.naver?code=315930
TIGER TOP10,"10,825",35,+0.32%,-3.93%,"36,373",https://finance.naver.com/item/main.naver?code=292150
KODEX MSCI Korea TR,"11,100",5,+0.05%,-4.80%,"3,591",https://finance.naver.com/item/main.naver?code=278540
SOL 미국배당다우존스,"11,930",30,+0.25%,+12.07%,"240,130",https://finance.naver.com/item/main.naver?code=446720
TIGER 인도니프티50,"14,085",155,+1.11%,+3.03%,"274,015",https://finance.naver.com/item/main.naver?code=453870
ACE 테슬라밸류체인액티브,"19,385",905,+4.90%,+71.43%,"1,242,153",https://finance.naver.com/item/main.naver?code=457480
ACE 종합채권(AA-이상)KIS액티브,"107,195",10,+0.01%,+2.38%,"1,291",https://finance.naver.com/item/main.naver?code=356540
KOSEF 200TR,"42,310",50,+0.12%,-3.48%,"43,195",https://finance.naver.com/item/main.naver?code=294400
RISE 미국S&P500,"18,970",45,+0.24%,+16.89%,"139,816",https://finance.naver.com/item/main.naver?code=379780
KODEX 단기채권,"111,845",5,0.00%,+0.76%,"2,158",https://finance.naver.com/item/main.naver?code=153130
TIGER 종합채권(AA-이상)액티브,"56,140",135,-0.24%,+2.67%,509,https://finance.naver.com/item/main.naver?code=451540
TIGER 미국30년국채스트립액티브..,"42,000",650,-1.52%,-13.69%,"119,937",https://finance.naver.com/item/main.naver?code=458250
TIGER 미국달러단기채권액티브,"13,090",35,+0.27%,+8.97%,"88,001",https://finance.naver.com/item/main.naver?code=329750
KODEX 미국빅테크10(H),"48,010",275,+0.58%,+19.41%,"40,580",https://finance.naver.com/item/main.naver?code=314250
TIGER 차이나항셍테크,"7,155",40,-0.56%,+39.44%,"390,706",https://finance.naver.com/item/main.naver?code=371160
ACE KRX금현물,"17,540",120,-0.68%,+13.13%,"253,302",https://finance.naver.com/item/main.naver?code=411060
RISE 단기통안채,"113,755",5,0.00%,+0.76%,"1,564",https://finance.naver.com/item/main.naver?code=196230
PLUS 200,"33,690",0,0.00%,-3.56%,"42,131",https://finance.naver.com/item/main.naver?code=152100
TIGER 리츠부동산인프라,"4,080",30,-0.73%,-10.69%,"553,156",https://finance.naver.com/item/main.naver?code=329200
ACE 미국배당다우존스,"13,150",25,+0.19%,+12.15%,"177,788",https://finance.naver.com/item/main.naver?code=402970
TIGER Fn반도체TOP10,"9,315",45,+0.49%,-7.58%,"374,987",https://finance.naver.com/item/main.naver?code=396500
TIGER 미국나스닥100타겟데일리..,"10,675",80,+0.76%,+20.00%,"363,341",https://finance.naver.com/item/main.naver?code=486290
TIGER 단기채권액티브,"54,955",0,0.00%,+0.80%,"3,738",https://finance.naver.com/item/main.naver?code=272580
TIGER 미국달러SOFR금리액티브(..,"58,270",215,+0.37%,+9.07%,"8,479",https://finance.naver.com/item/main.naver?code=456610
KODEX 미국반도체MV,"24,590",505,+2.10%,+13.45%,"176,727",https://finance.naver.com/item/main.naver?code=390390
TIGER 200 IT,"27,430",95,+0.35%,-10.36%,"8,246",https://finance.naver.com/item/main.naver?code=139260
KODEX 인도Nifty50,"14,400",180,+1.27%,+2.41%,"171,872",https://finance.naver.com/item/main.naver?code=453810
KODEX 인버스,"4,635",0,0.00%,+4.27%,"7,421,738",https://finance.naver.com/item/main.naver?code=114800
TIGER 24-12 금융채(AA-이상),"52,285",10,+0.02%,+0.76%,"1,440",https://finance.naver.com/item/main.naver?code=470260
ACE 미국빅테크TOP7 Plus,"18,635",200,+1.08%,+27.93%,"257,565",https://finance.naver.com/item/main.naver?code=465580
KODEX 국고채30년액티브,"123,900","1,075",-0.86%,+7.17%,"8,965",https://finance.naver.com/item/main.naver?code=439870
PLUS 머니마켓액티브,"51,410",0,0.00%,+0.89%,"3,774",https://finance.naver.com/item/main.naver?code=477050
KODEX 자동차,"17,940",265,-1.46%,-2.23%,"26,558",https://finance.naver.com/item/main.naver?code=091180
TIGER 2차전지소재Fn,"4,530",30,-0.66%,-19.51%,"874,999",https://finance.naver.com/item/main.naver?code=462010
SOL 초단기채권액티브,"52,350",5,+0.01%,+0.92%,"126,405",https://finance.naver.com/item/main.naver?code=469830
KODEX 반도체,"29,145",350,+1.22%,-8.06%,"196,864",https://finance.naver.com/item/main.naver?code=091160
KODEX 국고채3년,"61,830",35,-0.06%,+1.29%,"5,758",https://finance.naver.com/item/main.naver?code=114260
PLUS 고배당주,"15,080",60,-0.40%,+0.52%,"131,382",https://finance.naver.com/item/main.naver?code=161510
KODEX 미국30년국채타겟커버드콜..,"9,415",120,-1.26%,-8.11%,"478,046",https://finance.naver.com/item/main.naver?code=481060
TIGER 미국테크TOP10타겟커버드..,"14,490",30,+0.21%,+26.13%,"193,237",https://finance.naver.com/item/main.naver?code=474220
HANARO 200,"33,260",0,0.00%,-3.52%,388,https://finance.naver.com/item/main.naver?code=293180
SOL 조선TOP3플러스,"14,190",170,-1.18%,+18.09%,"909,281",https://finance.naver.com/item/main.naver?code=466920
KODEX 미국S&P500(H),"14,095",15,-0.11%,+8.03%,"62,273",https://finance.naver.com/item/main.naver?code=449180
KODEX 선진국MSCI World,"31,565",5,-0.02%,+14.67%,"12,787",https://finance.naver.com/item/main.naver?code=251350
히어로즈 머니마켓액티브,"51,565",5,+0.01%,+0.84%,"26,491",https://finance.naver.com/item/main.naver?code=476450
ACE 글로벌반도체TOP4 Plus SOLA..,"25,800",315,+1.24%,+11.87%,"58,513",https://finance.naver.com/item/main.naver?code=446770
KODEX 코스피,"25,540",60,+0.24%,-3.08%,"50,726",https://finance.naver.com/item/main.naver?code=226490
KOSEF 국고채10년,"119,160",250,-0.21%,+1.95%,"5,648",https://finance.naver.com/item/main.naver?code=148070
ACE 200,"33,590",35,+0.10%,-3.73%,"6,619",https://finance.naver.com/item/main.naver?code=105190
KOSEF 200,"33,110",35,+0.11%,-3.43%,"15,253",https://finance.naver.com/item/main.naver?code=069660
KODEX 미국달러SOFR금리액티브(..,"12,075",40,+0.33%,+9.36%,"96,315",https://finance.naver.com/item/main.naver?code=455030
TIGER 미국나스닥100커버드콜(합..,"11,260",10,+0.09%,+13.75%,"104,616",https://finance.naver.com/item/main.naver?code=441680
RISE KIS국고채30년Enhanced,"85,915",730,-0.84%,+9.91%,"25,099",https://finance.naver.com/item/main.naver?code=385560
RISE 미국30년국채엔화노출(합성..,"8,750",135,-1.52%,-10.64%,"488,628",https://finance.naver.com/item/main.naver?code=472870
1Q 머니마켓액티브,"51,435",5,+0.01%,+0.88%,"5,708",https://finance.naver.com/item/main.naver?code=479080
KODEX 미국AI테크TOP10타겟커버..,"11,775",45,+0.38%,+25.24%,"268,984",https://finance.naver.com/item/main.naver?code=483280
TIGER 미국S&P500TR(H),"14,585",15,-0.10%,+8.15%,"46,611",https://finance.naver.com/item/main.naver?code=448290
히어로즈 종합채권(AA-이상)액티..,"111,465",100,-0.09%,+2.63%,2,https://finance.naver.com/item/main.naver?code=454780
TIGER 중장기국채,"52,820",85,-0.16%,+1.59%,"1,606",https://finance.naver.com/item/main.naver?code=302190
KODEX 미국나스닥100(H),"17,130",60,+0.35%,+11.56%,"54,742",https://finance.naver.com/item/main.naver?code=449190
KODEX 은행,"8,550",50,-0.58%,+2.56%,"293,719",https://finance.naver.com/item/main.naver?code=091170
TIGER 2차전지TOP10,"9,230",30,+0.33%,-17.49%,"1,294,523",https://finance.naver.com/item/main.naver?code=364980
KODEX 26-12 회사채(AA-이상)액..,"10,580",5,-0.05%,+1.20%,"16,182",https://finance.naver.com/item/main.naver?code=473290
1Q CD금리액티브(합성),"100,795",5,0.00%,N/A,346,https://finance.naver.com/item/main.naver?code=491610
KODEX 미국30년국채울트라선물(H..,"7,755",95,-1.21%,-9.20%,"205,670",https://finance.naver.com/item/main.naver?code=304660
KODEX 미국30년국채액티브(H),"9,435",100,-1.05%,-8.87%,"591,177",https://finance.naver.com/item/main.naver?code=484790
KODEX 미국배당다우존스,"11,135",15,+0.13%,+12.22%,"444,555",https://finance.naver.com/item/main.naver?code=489250
TIGER 글로벌자율주행&전기차SOL..,"11,350",5,+0.04%,+19.30%,"23,366",https://finance.naver.com/item/main.naver?code=394660
KODEX ESG종합채권(A-이상)액티..,"112,940",195,-0.17%,+1.38%,1,https://finance.naver.com/item/main.naver?code=439860
TIGER 테슬라채권혼합Fn,"14,685",225,+1.56%,+24.92%,"269,153",https://finance.naver.com/item/main.naver?code=447770
TIMEFOLIO 글로벌AI인공지능액티..,"26,200",495,+1.93%,+34.23%,"102,569",https://finance.naver.com/item/main.naver?code=456600
PLUS 종합채권(AA-이상)액티브,"114,370",85,-0.07%,+2.65%,3,https://finance.naver.com/item/main.naver?code=451000
KODEX 25-11 회사채(A+이상)액티..,"10,700",0,0.00%,+0.80%,"13,781",https://finance.naver.com/item/main.naver?code=467940
TIGER 헬스케어,"37,070",155,+0.42%,-2.71%,"84,803",https://finance.naver.com/item/main.naver?code=143860
TIGER 글로벌리튬&2차전지SOLACT..,"6,920",35,-0.50%,+27.26%,"22,855",https://finance.naver.com/item/main.naver?code=394670
1Q 단기금융채액티브,"105,825",10,+0.01%,+0.86%,994,https://finance.naver.com/item/main.naver?code=463290
TIGER 일본니케이225,"22,245",50,-0.22%,+8.25%,"6,478",https://finance.naver.com/item/main.naver?code=241180
TIGER 27-04회사채(A+이상)액티..,"52,095",10,+0.02%,+1.42%,"3,287",https://finance.naver.com/item/main.naver?code=480260
TIGER 미국필라델피아반도체레버..,"25,820","1,040",+4.20%,+19.38%,"97,869",https://finance.naver.com/item/main.naver?code=423920
ACE CD금리&초단기채권액티브,"101,735",10,+0.01%,+0.93%,"19,776",https://finance.naver.com/item/main.naver?code=487340
KOSEF 인도Nifty50(합성),"26,445",325,+1.24%,+2.03%,"31,043",https://finance.naver.com/item/main.naver?code=200250
KODEX 미국AI전력핵심인프라,"13,105",65,+0.50%,+35.90%,"185,230",https://finance.naver.com/item/main.naver?code=487230
KODEX 국고채10년액티브,"113,260",295,-0.26%,+1.94%,"3,680",https://finance.naver.com/item/main.naver?code=471230
RISE 200위클리커버드콜,"8,590",0,0.00%,-4.08%,"219,395",https://finance.naver.com/item/main.naver?code=475720
TIGER 투자등급회사채액티브,"114,770",70,-0.06%,+1.61%,937,https://finance.naver.com/item/main.naver?code=438330
TIGER 미국S&P500동일가중,"11,090",35,-0.31%,+14.09%,"51,281",https://finance.naver.com/item/main.naver?code=488500
ACE 베트남VN30(합성),"21,275",10,-0.05%,+6.77%,"12,022",https://finance.naver.com/item/main.naver?code=245710
RISE KOFR금리액티브(합성),"102,225",5,0.00%,+0.80%,"8,104",https://finance.naver.com/item/main.naver?code=479520
PLUS K방산,"18,050",165,-0.91%,+3.00%,"222,017",https://finance.naver.com/item/main.naver?code=449450
TIGER 미국나스닥100TR(H),"17,635",70,+0.40%,+11.56%,"34,329",https://finance.naver.com/item/main.naver?code=448300
KODEX 코스닥150선물인버스,"4,040",10,-0.25%,+4.38%,"14,380,434",https://finance.naver.com/item/main.naver?code=251340
TIGER 은행고배당플러스TOP10,"14,065",60,-0.42%,+2.83%,"273,847",https://finance.naver.com/item/main.naver?code=466940
TIGER 미국S&P500타겟데일리커버..,"11,480",20,+0.17%,+17.00%,"117,676",https://finance.naver.com/item/main.naver?code=482730
SOL 미국배당다우존스(H),"11,565",5,-0.04%,+3.53%,"121,764",https://finance.naver.com/item/main.naver?code=452360
KODEX 테슬라커버드콜채권혼합액..,"10,005",30,+0.30%,+10.78%,"175,028",https://finance.naver.com/item/main.naver?code=475080
SOL AI반도체소부장,"9,710",195,+2.05%,-13.03%,"80,343",https://finance.naver.com/item/main.naver?code=455850
KODEX 미국나스닥100레버리지(합..,"13,060",65,+0.50%,+22.88%,"58,346",https://finance.naver.com/item/main.naver?code=409820
RISE 200TR,"18,285",10,+0.05%,-3.61%,"29,884",https://finance.naver.com/item/main.naver?code=361580
SOL 26-12 회사채(AA-이상)액티..,"50,665",5,+0.01%,N/A,234,https://finance.naver.com/item/main.naver?code=488980
TIMEFOLIO 미국나스닥100액티브,"28,020",560,+2.04%,+41.29%,"228,991",https://finance.naver.com/item/main.naver?code=426030
RISE ESG사회책임투자,"12,315",25,+0.20%,-1.84%,125,https://finance.naver.com/item/main.naver?code=290130
RISE 비메모리반도체액티브,"9,300",90,+0.98%,-7.34%,"71,334",https://finance.naver.com/item/main.naver?code=388420
TIGER 미국S&P500선물(H),"65,625",90,-0.14%,+7.49%,"1,290",https://finance.naver.com/item/main.naver?code=143850
TIGER 반도체,"30,070",365,+1.23%,-8.25%,"33,258",https://finance.naver.com/item/main.naver?code=091230
TIGER 글로벌AI액티브,"18,800",170,+0.91%,+33.93%,"52,604",https://finance.naver.com/item/main.naver?code=466950
KODEX AI전력핵심설비,"9,470",375,+4.12%,+15.35%,"969,391",https://finance.naver.com/item/main.naver?code=487240
KODEX 2차전지산업레버리지,"1,505",3,-0.20%,-38.45%,"3,015,563",https://finance.naver.com/item/main.naver?code=462330
KODEX 코리아밸류업,"9,510",10,+0.11%,N/A,"81,518",https://finance.naver.com/item/main.naver?code=495850
SOL 미국30년국채커버드콜(합성),"10,035",40,-0.40%,+1.01%,"111,838",https://finance.naver.com/item/main.naver?code=473330
RISE 수소경제테마,"8,425",20,-0.24%,-6.43%,"5,994",https://finance.naver.com/item/main.naver?code=367770
KODEX 차이나항셍테크,"7,150",15,-0.21%,+39.67%,"267,859",https://finance.naver.com/item/main.naver?code=372330
TIGER 미국테크TOP10 INDXX(H),"15,455",10,-0.06%,+17.65%,"56,057",https://finance.naver.com/item/main.naver?code=472160
TIGER 화장품,"2,725",20,+0.74%,-10.28%,"1,316,554",https://finance.naver.com/item/main.naver?code=228790
ACE 국고채10년,"93,735",240,-0.26%,+1.98%,"3,129",https://finance.naver.com/item/main.naver?code=365780
KODEX TRF3070,"13,615",5,-0.04%,+5.83%,"18,468",https://finance.naver.com/item/main.naver?code=329650
ACE 미국S&P500채권혼합액티브,"12,990",55,+0.43%,+11.27%,"142,507",https://finance.naver.com/item/main.naver?code=438080
TIGER 글로벌비만치료제TOP2Plus,"10,145",20,+0.20%,-10.82%,"29,670",https://finance.naver.com/item/main.naver?code=476690
ACE 미국달러SOFR금리(합성),"11,805",45,+0.38%,+8.89%,"18,007",https://finance.naver.com/item/main.naver?code=456880
TIGER 코리아밸류업,"9,540",10,+0.10%,N/A,"102,039",https://finance.naver.com/item/main.naver?code=496080
KODEX 단기변동금리부채권액티브,"112,730",5,0.00%,+0.76%,45,https://finance.naver.com/item/main.naver?code=273140
HANARO Fn K-반도체,"9,140",65,+0.72%,-5.91%,"57,640",https://finance.naver.com/item/main.naver?code=395270
ACE 미국빅테크7+데일리타겟커버..,"12,375",45,-0.36%,+24.08%,"203,173",https://finance.naver.com/item/main.naver?code=480020
KODEX 골드선물(H),"16,135",210,-1.28%,+3.78%,"29,300",https://finance.naver.com/item/main.naver?code=132030
TIGER 차이나CSI300,"10,280",45,-0.44%,+30.86%,"34,082",https://finance.naver.com/item/main.naver?code=192090
RISE 25-06 은행채(AA+이상)액티..,"50,925",5,+0.01%,+0.80%,61,https://finance.naver.com/item/main.naver?code=483230
SOL 200TR,"12,075",5,+0.04%,-3.36%,"2,268",https://finance.naver.com/item/main.naver?code=295040
히어로즈 CD금리액티브(합성),"105,590",10,-0.01%,+0.80%,"1,699",https://finance.naver.com/item/main.naver?code=458210
RISE 25-03 회사채(AA-이상)액티..,"51,020",5,+0.01%,+0.82%,"1,610",https://finance.naver.com/item/main.naver?code=464540
RISE 단기국공채액티브,"111,445",10,-0.01%,+0.87%,50,https://finance.naver.com/item/main.naver?code=272560
SOL 국고채10년,"111,715",305,-0.27%,+2.05%,"1,193",https://finance.naver.com/item/main.naver?code=438570
TIGER 인도빌리언컨슈머,"10,670",130,+1.23%,-5.41%,"12,103",https://finance.naver.com/item/main.naver?code=479730
KODEX 200액티브,"9,500",25,-0.26%,N/A,"1,031",https://finance.naver.com/item/main.naver?code=494890
TIGER 미국채10년선물,"12,595",10,-0.08%,+3.62%,"39,806",https://finance.naver.com/item/main.naver?code=305080
TIGER 글로벌혁신블루칩TOP10,"16,215",10,-0.06%,+19.74%,"20,118",https://finance.naver.com/item/main.naver?code=464930
TIGER 국고채30년스트립액티브,"63,455",560,-0.87%,+11.24%,"34,370",https://finance.naver.com/item/main.naver?code=451530
TIGER 미국투자등급회사채액티브..,"49,235",245,-0.50%,-2.79%,"2,222",https://finance.naver.com/item/main.naver?code=458260
SOL 미국배당미국채혼합50,"10,550",10,+0.09%,N/A,"228,344",https://finance.naver.com/item/main.naver?code=490490
RISE 25-11 회사채(AA-이상)액티..,"52,615",15,-0.03%,+0.94%,821,https://finance.naver.com/item/main.naver?code=448600
KODEX 미국달러선물인버스2X,"5,325",45,-0.84%,-14.42%,"556,351",https://finance.naver.com/item/main.naver?code=261260
TIGER 미국MSCI리츠(합성 H),"13,260",20,-0.15%,-3.77%,"9,412",https://finance.naver.com/item/main.naver?code=182480
TIGER BBIG,"6,355",5,+0.08%,+2.09%,"32,504",https://finance.naver.com/item/main.naver?code=364960
KODEX 장기종합채권(AA-이상)액..,"102,110",490,-0.48%,+4.19%,410,https://finance.naver.com/item/main.naver?code=363570
ACE 엔비디아채권혼합블룸버그,"21,960",220,-0.99%,+8.46%,"58,314",https://finance.naver.com/item/main.naver?code=448540
ACE 26-06 회사채(AA-이상)액티..,"10,875",5,-0.05%,+1.16%,"8,525",https://finance.naver.com/item/main.naver?code=461270
TIGER 글로벌온디바이스AI,"10,975",40,+0.37%,+15.84%,"23,461",https://finance.naver.com/item/main.naver?code=480310
ACE 엔비디아밸류체인액티브,"9,985",65,+0.66%,+17.54%,"196,157",https://finance.naver.com/item/main.naver?code=483320
KODEX 미국S&P500선물(H),"27,385",35,-0.13%,+7.83%,"3,679",https://finance.naver.com/item/main.naver?code=219480
TIGER 차이나과창판STAR50(합성),"7,935",55,-0.69%,+62.73%,"43,318",https://finance.naver.com/item/main.naver?code=414780
SOL 25-09 회사채(AA-이상)액티..,"53,420",10,+0.02%,+0.85%,101,https://finance.naver.com/item/main.naver?code=462540
TIGER 미국나스닥100TR채권혼합F..,"13,120",15,+0.11%,+6.85%,"52,273",https://finance.naver.com/item/main.naver?code=435420
RISE 글로벌자산배분액티브,"12,980",5,-0.04%,+8.62%,"90,436",https://finance.naver.com/item/main.naver?code=461490
KODEX 바이오,"8,025",35,+0.44%,-5.67%,"78,452",https://finance.naver.com/item/main.naver?code=244580
RISE 2차전지액티브,"7,060",5,+0.07%,-16.31%,"50,740",https://finance.naver.com/item/main.naver?code=422420
TIGER 코스피,"25,820",15,-0.06%,-2.62%,"13,904",https://finance.naver.com/item/main.naver?code=277630
KODEX TDF2050액티브,"14,545",10,+0.07%,+10.92%,"58,639",https://finance.naver.com/item/main.naver?code=434060
SOL 미국AI소프트웨어,"13,695",120,-0.87%,+28.93%,"283,943",https://finance.naver.com/item/main.naver?code=481180
TIGER 미국테크TOP10채권혼합,"13,175",15,+0.11%,+11.20%,"107,273",https://finance.naver.com/item/main.naver?code=472170
PLUS 코스피TR,"13,490",30,-0.22%,-2.98%,"2,353",https://finance.naver.com/item/main.naver?code=328370
TIGER 미국필라델피아AI반도체나..,"10,940",275,+2.58%,N/A,"1,266,358",https://finance.naver.com/item/main.naver?code=497570
ACE 미국WideMoat동일가중,"28,250",100,-0.35%,+12.41%,"12,287",https://finance.naver.com/item/main.naver?code=309230
ACE 미국500데일리타겟커버드콜(..,"11,165",5,+0.04%,+16.71%,"131,279",https://finance.naver.com/item/main.naver?code=480030
KODEX 2차전지핵심소재10,"4,660",40,-0.85%,-19.45%,"327,027",https://finance.naver.com/item/main.naver?code=461950
SOL 2차전지소부장Fn,"4,335",20,-0.46%,-20.09%,"202,667",https://finance.naver.com/item/main.naver?code=455860
KODEX 한국부동산리츠인프라,"4,565",25,-0.54%,-10.61%,"361,612",https://finance.naver.com/item/main.naver?code=476800
ACE 25-06 회사채(AA-이상)액티..,"10,725",5,+0.05%,+0.75%,"3,169",https://finance.naver.com/item/main.naver?code=461260
TIGER 바이오TOP10,"7,305",10,+0.14%,-3.51%,"290,435",https://finance.naver.com/item/main.naver?code=364970
TIMEFOLIO K바이오액티브,"11,595",85,+0.74%,-1.79%,"261,482",https://finance.naver.com/item/main.naver?code=463050
SOL 미국S&P500,"18,110",45,+0.25%,+16.94%,"29,843",https://finance.naver.com/item/main.naver?code=433330
1Q 현대차그룹채권(A+이상)&국고..,"50,355",0,0.00%,N/A,0,https://finance.naver.com/item/main.naver?code=492500
RISE IT플러스,"15,125",15,-0.10%,-3.93%,"3,224",https://finance.naver.com/item/main.naver?code=326240
1Q 25-08 회사채(A+이상)액티브,"106,910",15,+0.01%,+0.85%,193,https://finance.naver.com/item/main.naver?code=466400
KODEX 미국배당커버드콜액티브,"12,150",15,+0.12%,+14.51%,"86,301",https://finance.naver.com/item/main.naver?code=441640
RISE 국고채3년선물인버스,"109,005",165,+0.15%,+0.28%,1,https://finance.naver.com/item/main.naver?code=282000
KODEX 미국나스닥100선물(H),"25,425",95,+0.38%,+11.29%,"13,166",https://finance.naver.com/item/main.naver?code=304940
ACE 2월만기자동연장회사채AA-이..,"10,370",5,+0.05%,+0.78%,8,https://finance.naver.com/item/main.naver?code=475260
TIGER 미국AI빅테크10,"11,990",60,+0.50%,+22.80%,"97,980",https://finance.naver.com/item/main.naver?code=490090
TIGER 코스닥150,"11,905",30,+0.25%,-5.49%,"118,766",https://finance.naver.com/item/main.naver?code=232080
PLUS 국고채10년액티브,"55,750",215,-0.38%,+2.01%,110,https://finance.naver.com/item/main.naver?code=461460
KoAct 바이오헬스케어액티브,"13,235",45,+0.34%,-3.62%,"140,876",https://finance.naver.com/item/main.naver?code=462900
RISE 코스닥150,"11,545",35,+0.30%,-5.07%,"18,140",https://finance.naver.com/item/main.naver?code=270810
SOL 미국테크TOP10,"13,650",75,+0.55%,+26.63%,"70,851",https://finance.naver.com/item/main.naver?code=481190
TIGER 미국나스닥100레버리지(합..,"27,455",350,+1.29%,+44.29%,"34,174",https://finance.naver.com/item/main.naver?code=418660
TIGER 미국AI빅테크10타겟데일리..,"11,245",70,+0.63%,N/A,"229,348",https://finance.naver.com/item/main.naver?code=493810
